EXPOSURE,max_blind,max_blind_95,rms_blind,rms_blind_95,max_corr,max_corr_95,rms_corr,rms_corr_95,environmentmonitor_telescope,telescope_timestamp,mirror_avg_temp,mirror_desired_temp,servo_setpoint,air_temp,air_dewpoint,air_flow,probe1_humidity,probe1_temp,probe2_humidity,probe2_temp,flowrate_in,flowrate_out,mirror_rtd_temp,mirror_nib_temp,mirror_eib_temp,mirror_sib_temp,mirror_wib_temp,mirror_nob_temp,mirror_eob_temp,mirror_sob_temp,mirror_wob_temp,mirror_nit_temp,mirror_eit_temp,mirror_sit_temp,mirror_wit_temp,mirror_not_temp,mirror_eot_temp,mirror_sot_temp,mirror_wot_temp,glycol_in_temp,glycol_out_temp,air_in_temp,air_out_temp,truss_ntt_temp,truss_ett_temp,truss_stt_temp,truss_wtt_temp,truss_ntb_temp,truss_etb_temp,truss_stb_temp,truss_wtb_temp,truss_sts_temp,truss_tsb_temp,truss_tsm_temp,truss_tst_temp,topring_s_temp,topring_w_temp,hinge_s_temp,hinge_w_temp,chimney_os_temp,chimney_ow_temp,chimney_ib_temp,chimney_im_temp,chimney_it_temp,centersection_i_temp,centersection_o_temp,primarycell_i_temp,primarycell_o_temp,casscage_i_temp,casscage_o_temp,decbore_temp,mirror_status,time_recorded,dos_instance,row_status,row_status_time,row_status_user,mirror_temp,truss_temp,EXPID,environmentmonitor_tower,tower_timestamp,wind_speed,wind_direction,humidity,pressure,temperature,dewpoint,split,gust,time_recorded,dos_instance,row_status,row_status_time,row_status_user,EXPID,fvc_camerastatus,controller_open,reset,initialized,shutter_open,fan_on,temp_degc,exptime_sec,psf_pixels,last_updated,time_recorded,dos_instance,row_status,row_status_time,row_status_user,EXPID,guider_summary,duration,expid,seeing,frames,meanx,meany,meanx2,meany2,meanxy,maxx,maxy,time_recorded,dos_instance,row_status,row_status_time,row_status_user,EXPID,guider_centroids,combined_x,combined_y,time_recorded,dos_instance,row_status,row_status_time,row_status_user,EXPID
43426.0,4934.778617121542,177.07850704325597,526.4406738255045,177.07850704325597,1221.024160285127,21.840329667841555,33.979657213240266,21.840329667841555,4424398,2020-02-13 09:24:48,4.169,4.4,40.0,2.385,-9.647,0.0,-100.0,-100.0,-99.99,-99.99,0.0,0.0,-99.9,4.2,4.3,4.3,4.3,4.4,4.4,4.4,4.3,4.0,4.0,4.0,4.0,4.3,4.2,4.2,4.2,6.5,6.4,6.7,6.7,3.1,3.1,3.1,3.0,3.4,3.5,3.5,3.3,3.6,3.8,3.8,3.7,3.0,2.8,3.5,4.3,21.7,21.6,21.6,21.6,21.7,3.9,3.5,4.0,3.9,10.6,4.0,4.5,ready,2020-02-13 09:24:48.065374+00:00,extern,M,2020-02-13 09:24:48.067243+00:00,desi_writer,4.112,3.767,48382,4424391,2020-02-13 09:22:13,10.8,319.0,30.0,789.4,2.6,-13.3,15.9,99.9,2020-02-13 09:24:42.992224+00:00,extern,M,2020-02-13 09:24:42.993394+00:00,desi_writer,48382,848992,1,1,1,0,1,-10.0,2.0,2.646,2020-02-13T09:18:08.800296,2020-02-13 09:18:08.800852+00:00,extern,M,2020-02-13 09:18:08.801534+00:00,desi_writer,48382,9055,730.228,48381.0,0.2,73.0,-0.006,-0.002,0.002,0.003,0.001,0.086,0.171,2020-02-13 09:19:48.873251+00:00,desi_20200212,M,2020-02-13 09:19:48.873964+00:00,desi_writer,48382,82985,0.329184229317697,0.732910321735531,2020-02-13 09:23:08.536096+00:00,desi_20200212,M,2020-02-13 09:23:08.537428+00:00,desi_writer,48382
43416.0,7187.295736227918,5636.80710452074,3557.2569227258996,5636.80710452074,7187.295736227918,5636.80710452074,3557.2569227258996,5636.80710452074,4609558,2020-02-26 07:04:43,3.258,3.0,40.0,0.548,-12.61,0.0,-100.0,-100.0,-99.99,-99.99,0.0,0.0,-99.9,4.0,4.0,3.9,4.0,4.2,4.4,4.4,4.2,3.2,3.2,3.1,2.9,3.4,3.4,3.3,3.3,7.1,7.0,6.9,7.6,0.8,1.0,0.9,0.7,1.0,1.6,1.7,1.1,1.8,2.0,2.2,1.7,1.7,0.7,1.8,3.6,21.7,21.6,21.6,21.6,21.7,2.4,1.8,3.3,3.2,10.6,2.5,3.9,ready,2020-02-26 07:04:44.438861+00:00,extern,M,2020-02-26 07:04:44.440826+00:00,desi_writer,3.225,1.967,52112,4609551,2020-02-26 07:02:53,43.3,72.1,25.0,793.1,-0.5,-18.2,17.7,117.6,2020-02-26 07:04:39.366290+00:00,extern,M,2020-02-26 07:04:39.367656+00:00,desi_writer,52112,886012,1,1,1,0,1,-10.0,2.0,2.647,2020-02-26T07:02:41.003414,2020-02-26 07:02:41.005191+00:00,extern,M,2020-02-26 07:02:41.008815+00:00,desi_writer,52112,9395,1065.098,52112.0,,106.0,-0.017,-0.039,0.059,0.063,0.001,0.495,0.662,2020-02-26 07:20:53.467904+00:00,desi_20200225,M,2020-02-26 07:20:53.468711+00:00,desi_writer,52112,96488,-1.66362814689515,0.204656289283765,2020-02-26 07:03:30.359063+00:00,desi_20200225,M,2020-02-26 07:03:30.359699+00:00,desi_writer,52112
43428.0,4990.146791428084,181.55929525941988,518.1836999134416,181.55929525941988,1211.218394840501,13.92838827718412,33.28165440307048,13.92838827718412,4423378,2020-02-13 07:44:29,4.4,3.0,40.0,3.19,-9.933,0.0,-100.0,-100.0,-99.99,-99.99,0.0,0.0,-99.9,4.4,4.4,4.5,4.3,4.5,4.4,4.4,4.3,4.3,4.5,4.4,4.3,4.6,4.5,4.5,4.3,6.8,6.8,6.6,6.7,3.6,3.4,3.6,3.3,3.9,4.0,4.1,3.6,4.2,4.6,4.3,4.3,3.8,3.2,4.6,4.7,21.7,21.6,21.6,21.6,21.7,4.1,4.2,4.0,3.9,10.6,4.3,4.5,ready,2020-02-13 07:44:29.268598+00:00,extern,M,2020-02-13 07:44:29.270732+00:00,desi_writer,4.425,4.4,48364,4423371,2020-02-13 07:42:37,10.5,305.4,29.0,789.4,3.3,-13.1,16.4,99.9,2020-02-13 07:44:24.189336+00:00,extern,M,2020-02-13 07:44:24.190488+00:00,desi_writer,48364,848812,1,1,1,0,1,-10.0,2.0,2.641,2020-02-13T07:47:50.656197,2020-02-13 07:47:50.656891+00:00,extern,M,2020-02-13 07:47:50.657407+00:00,desi_writer,48364,9043,188.528,48363.0,0.25,18.0,-0.034,-0.018,0.006,0.004,0.002,0.098,0.055,2020-02-13 07:41:00.444303+00:00,desi_20200212,M,2020-02-13 07:41:00.445133+00:00,desi_writer,48364,82631,-0.127285891674875,-0.349696954730815,2020-02-13 07:42:56.295832+00:00,desi_20200212,M,2020-02-13 07:42:56.297331+00:00,desi_writer,48364
43417.0,6272.29120816309,5290.792713597265,1603.0431271510265,5290.792713597265,2054.9902676168567,19.0,61.25529809827786,19.0,4609798,2020-02-26 07:28:48,3.195,3.0,40.0,0.507,-13.19,0.0,-100.0,-100.0,-99.99,-99.99,0.0,0.0,-99.9,3.9,3.9,3.8,3.9,4.0,4.2,4.3,4.1,3.2,3.0,3.1,2.9,3.5,3.3,3.3,3.3,7.2,7.1,6.5,7.9,0.8,0.9,1.1,0.8,1.1,1.6,1.7,1.1,1.6,2.0,1.9,1.9,1.0,0.8,1.9,3.7,21.7,21.6,21.6,21.6,21.7,2.3,1.7,3.3,3.0,10.6,2.2,3.9,ready,2020-02-26 07:28:48.641412+00:00,extern,M,2020-02-26 07:28:48.643274+00:00,desi_writer,3.2,1.933,52113,4609791,2020-02-26 07:27:46,50.0,77.0,23.6,792.9,-0.1,-18.5,18.4,117.6,2020-02-26 07:28:43.569118+00:00,extern,M,2020-02-26 07:28:43.570289+00:00,desi_writer,52113,886072,1,1,1,0,1,-10.0,2.0,2.623,2020-02-26T07:32:44.151540,2020-02-26 07:32:44.153647+00:00,extern,M,2020-02-26 07:32:44.156127+00:00,desi_writer,52113,9395,1065.098,52112.0,,106.0,-0.017,-0.039,0.059,0.063,0.001,0.495,0.662,2020-02-26 07:20:53.467904+00:00,desi_20200225,M,2020-02-26 07:20:53.468711+00:00,desi_writer,52113,96594,1.37870555883601,-1.89680157612962,2020-02-26 07:26:38.711408+00:00,desi_20200225,M,2020-02-26 07:26:38.712510+00:00,desi_writer,52113
43419.0,6267.388610896886,5192.590604373905,1541.7614699127512,5192.590604373905,1266.0845153464281,21.156511153676263,48.803981406315955,21.156511153676263,4195018,2020-01-28 12:03:19,5.672,3.0,40.0,4.48,-4.683,0.0,-100.0,-100.0,-99.99,-99.99,0.0,0.0,-99.9,5.9,5.9,5.9,5.8,6.0,6.0,6.1,6.0,5.6,5.6,5.6,5.5,5.9,5.8,5.7,5.7,7.6,7.5,8.1,7.9,4.3,4.3,4.7,3.9,4.4,4.6,4.7,4.3,4.8,6.1,5.9,5.7,5.2,4.8,5.7,5.8,21.7,21.6,21.6,21.6,21.7,5.0,5.0,5.3,5.3,10.6,5.1,6.1,ready,2020-01-28 12:03:19.700286+00:00,extern,M,2020-01-28 12:03:19.702558+00:00,desi_writer,5.675,5.9,44615,4195011,2020-01-28 12:01:37,18.2,346.7,36.4,791.4,4.9,-8.8,13.7,99.9,2020-01-28 12:03:14.636999+00:00,extern,M,2020-01-28 12:03:14.638357+00:00,desi_writer,44615,803392,1,1,1,0,1,-10.0,5.0,2.097,2020-01-28T12:19:42.691749,2020-01-28 12:19:42.692497+00:00,extern,M,2020-01-28 12:19:42.693246+00:00,desi_writer,44615,8685,2325.088,44611.0,0.24,232.0,-0.016,-0.038,0.014,0.006,0.001,0.31,0.182,2020-01-28 12:03:18.352179+00:00,desi_20200127,M,2020-01-28 12:03:18.352957+00:00,desi_writer,44615,71131,0.398408460686673,-1.00058917900992,2020-01-28 12:05:26.594235+00:00,desi_20200127,M,2020-01-28 12:05:26.594813+00:00,desi_writer,44615
43422.0,4929.06644304984,172.996964785403,289.631820378511,172.996964785403,995.8498882863822,25.029964086141668,39.883668609993336,25.029964086141668,4767178,2020-03-08 06:26:11,8.077,6.0,40.0,6.708,3.267,0.0,-100.0,-100.0,-99.99,-99.99,0.0,0.0,-99.9,8.3,8.2,8.1,8.1,9.3,8.5,8.0,8.2,8.0,8.0,7.8,7.9,9.0,8.1,7.9,8.0,10.7,10.7,11.2,11.4,8.0,8.1,7.4,7.9,8.2,8.3,8.2,8.0,8.5,8.1,7.9,8.2,7.4,7.1,7.9,8.6,21.7,21.6,21.6,21.6,21.7,7.9,8.4,7.9,7.9,10.6,8.9,8.3,ready,2020-03-08 06:26:11.488251+00:00,extern,M,2020-03-08 06:26:11.490053+00:00,desi_writer,8.088,8.067,53892,4767171,2020-03-08 06:24:03,32.6,123.6,51.3,787.0,6.3,-3.1,9.4,117.6,2020-03-08 06:26:06.425615+00:00,extern,M,2020-03-08 06:26:06.426837+00:00,desi_writer,53892,917572,1,1,1,0,1,-10.0,2.0,2.642,2020-03-08T06:36:07.203428,2020-03-08 06:36:07.205221+00:00,extern,M,2020-03-08 06:36:07.208928+00:00,desi_writer,53892,9563,257.144,53891.0,2.09,25.0,0.021,-0.031,0.036,0.039,0.016,0.433,0.347,2020-03-08 06:20:56.019605+00:00,desi_20200307,M,2020-03-08 06:20:56.020382+00:00,desi_writer,53892,107123,0.37926166263001,-0.174451998263968,2020-03-08 06:23:56.514184+00:00,desi_20200307,M,2020-03-08 06:23:56.515531+00:00,desi_writer,53892
43424.0,4917.2578740594845,172.40976213584958,520.1414566001199,172.40976213584958,1185.8381002480903,19.72308292331602,39.164098301182435,19.72308292331602,4497718,2020-02-18 12:39:42,8.491,6.0,40.0,7.883,-4.37,0.0,-100.0,-100.0,-99.99,-99.99,0.0,0.0,-99.9,8.6,8.6,8.7,8.5,8.9,8.9,8.8,8.8,8.4,8.3,8.4,8.3,8.8,8.7,8.6,8.6,10.6,10.4,10.7,10.5,7.9,7.9,8.0,7.8,7.9,8.1,8.2,7.9,8.5,9.1,9.0,8.8,8.5,8.2,9.1,9.4,21.7,21.6,21.6,21.6,21.7,8.5,8.5,8.7,8.6,10.6,8.8,9.3,ready,2020-02-18 12:39:43.014279+00:00,extern,M,2020-02-18 12:39:43.016561+00:00,desi_writer,8.513,8.967,49713,4497711,2020-02-18 12:38:52,15.7,237.9,31.3,788.5,7.9,-8.1,16.0,117.6,2020-02-18 12:39:37.943753+00:00,extern,M,2020-02-18 12:39:37.944901+00:00,desi_writer,49713,863692,1,1,1,0,1,-10.0,2.0,2.654,2020-02-18T12:34:56.513069,2020-02-18 12:34:56.513644+00:00,extern,M,2020-02-18 12:34:56.514310+00:00,desi_writer,49713,9283,564.872,49712.0,,56.0,0.022,0.005,0.005,0.005,-0.001,0.213,0.16,2020-02-18 12:38:47.799747+00:00,desi_20200217,M,2020-02-18 12:38:47.800530+00:00,desi_writer,49713,91067,0.545653467114337,-1.00408087336624,2020-02-18 12:40:35.933149+00:00,desi_20200217,M,2020-02-18 12:40:35.933808+00:00,desi_writer,49713
43462.0,4982.481710954893,192.52153019425523,521.5103702119395,192.52153019425523,1220.6555615733703,19.026297590440446,33.33895771405199,19.026297590440446,4609978,2020-02-26 07:47:00,3.078,3.0,40.0,0.17,-12.703,0.0,-100.0,-100.0,-99.99,-99.99,0.0,0.0,-99.9,3.9,3.7,3.7,3.8,3.8,4.1,4.2,4.0,2.9,3.0,3.0,2.8,3.3,3.2,3.1,3.2,7.2,7.0,7.0,7.7,0.6,0.7,0.8,0.7,0.9,1.4,1.6,1.1,1.6,1.7,1.6,1.5,0.7,0.3,1.5,3.5,21.7,21.6,21.6,21.6,21.7,2.4,1.6,3.2,3.0,10.6,2.2,3.7,ready,2020-02-26 07:47:01.022972+00:00,extern,M,2020-02-26 07:47:01.025148+00:00,desi_writer,3.062,1.6,52114,4609971,2020-02-26 07:46:25,47.5,80.8,24.0,793.0,-0.2,-18.4,18.2,117.6,2020-02-26 07:46:55.961989+00:00,extern,M,2020-02-26 07:46:55.963013+00:00,desi_writer,52114,886132,1,1,1,0,1,-10.0,2.0,2.632,2020-02-26T08:02:47.301738,2020-02-26 08:02:47.303539+00:00,extern,M,2020-02-26 08:02:47.306256+00:00,desi_writer,52114,9396,1063.815,52113.0,,106.0,-0.023,0.003,0.059,0.072,-0.006,0.688,0.653,2020-02-26 07:44:12.689035+00:00,desi_20200225,M,2020-02-26 07:44:12.689818+00:00,desi_writer,52114,96700,-1.90919028729664,-1.45533432478929,2020-02-26 07:49:22.014707+00:00,desi_20200225,M,2020-02-26 07:49:22.015337+00:00,desi_writer,52114
43526.0,4712.387929701884,191.5645874657899,467.09001020847256,191.5645874657899,992.7618042612236,14.805321335067449,32.385779084412064,14.805321335067449,4135498,2020-01-24 09:09:00,8.729,4.0,40.0,8.605,-2.27,0.0,-100.0,-100.0,-99.99,-99.99,0.0,0.0,-99.9,8.5,8.6,8.7,8.4,8.6,8.4,8.2,8.2,8.8,8.7,8.8,8.8,8.9,8.6,8.7,8.5,10.3,10.2,10.6,10.5,9.0,8.9,9.1,8.8,9.0,9.2,9.5,8.8,9.6,9.9,9.8,9.8,9.1,8.8,9.8,9.3,21.7,21.6,21.6,21.6,21.7,9.0,9.5,8.3,8.4,10.6,9.6,8.8,ready,2020-01-24 09:09:00.182623+00:00,extern,M,2020-01-24 09:09:00.184363+00:00,desi_writer,8.725,9.833,43524,4135491,2020-01-24 09:07:57,12.4,192.0,86.3,790.0,8.9,-4.1,13.0,99.9,2020-01-24 09:08:55.114714+00:00,extern,M,2020-01-24 09:08:55.115747+00:00,desi_writer,43524,791512,1,1,1,0,1,-10.0,0.0,4.065,2020-01-24T09:04:33.812842,2020-01-24 09:04:33.814561+00:00,extern,M,2020-01-24 09:04:33.817139+00:00,desi_writer,43524,8330,,,,,,,,,,,,2020-01-24 09:06:23.435313+00:00,desi_20200123,M,2020-01-24 09:06:23.436166+00:00,desi_writer,43524,63177,0.707718972133021,-0.534901464738828,2020-01-24 09:08:16.855217+00:00,desi_20200123,M,2020-01-24 09:08:16.855973+00:00,desi_writer,43524
43524.0,5205.422653349102,191.70745487192193,495.0748913015933,191.70745487192193,895.6651159892294,11.40175425099138,33.946485677564525,11.40175425099138,4523938,2020-02-20 08:06:50,9.384,7.0,40.0,8.792,-4.137,0.0,-100.0,-100.0,-99.99,-99.99,0.0,0.0,-99.9,9.3,9.4,9.5,9.2,9.5,9.4,9.3,9.2,9.2,9.4,9.4,9.2,9.5,9.4,9.4,9.2,11.1,11.0,11.4,11.4,9.8,9.4,9.6,9.6,9.8,9.5,9.6,9.7,9.9,10.3,10.4,10.2,9.9,9.6,10.3,10.2,21.7,21.6,21.6,21.6,21.7,9.6,9.7,9.3,9.1,10.6,10.1,9.8,ready,2020-02-20 08:06:50.239154+00:00,extern,M,2020-02-20 08:06:50.241093+00:00,desi_writer,9.338,10.3,51039,4523931,2020-02-20 08:05:07,10.8,188.4,31.9,792.8,9.9,-6.2,16.1,117.6,2020-02-20 08:06:45.176186+00:00,extern,M,2020-02-20 08:06:45.177362+00:00,desi_writer,51039,868912,1,1,1,0,1,-10.0,2.0,2.655,2020-02-20T08:11:29.017839,2020-02-20 08:11:29.019480+00:00,extern,M,2020-02-20 08:11:29.021568+00:00,desi_writer,51039,9319,1071.336,51031.0,0.2,107.0,0.011,0.012,0.01,0.004,0.001,0.232,0.268,2020-02-20 07:54:52.262237+00:00,desi_20200219,M,2020-02-20 07:54:52.262943+00:00,desi_writer,51039,93190,0.663853280970518,0.471855677906918,2020-02-20 08:08:17.862904+00:00,desi_20200219,M,2020-02-20 08:08:17.864213+00:00,desi_writer,51039
