Category,Attribute,Table Location,Units,Notes
Observation,EXPID,exposure,int,"in table, marked at `id`"
Observation,DATE_OBS,N/A,,calculated from mjd_obs
Observation,TARGTRA,exposure,deg,
Observation,TARGTDEC,exposure,deg,
Observation,SKYRA,exposure,deg,
Observation,SKYDEC,exposure,deg,
Observation,DELTARA,exposure,deg,
Observation,DELTADEC,exposure,deg,
Observation,REQTIME,exposure,sec,
Observation,EXPTIME,exposure,sec,
Observation,FOCUS,exposure,,
Observation,AIRMASS,exposures,,
Observation,MOUNTHA,exposure,,
Observation,ZD,exposure,,
Observation,MOUNTAZ,exposure,,
Observation,DOMEAZ,exposure,,
Observation,S2N,exposure,,
Observation,TRANSPAR,exposure,,
Observation,SKYLEVEL,exposure,,
Observation,NIGHT,exposure,,
Observation,MOONRA,exposure,deg,
Observation,MOONDEC,exposure,deg,
Observation,PARALLACTIC,exposure,,
Observation,MOUNTEL,exposure,,
GFA,CCDTEMP_MEAN,gfa_telemetry,degC,
GFA,HOTPELTIER_MEAN,gfa_telemetry,degC,
GFA,COLDPELTIER_MEAN,gfa_telemetry,degC,
GFA,FILTER_MEAN,gfa_telemetry,degC,
GFA,HUMID2_MEAN,gfa_telemetry,,
GFA,HUMID3_MEAN,gfa_telemetry,,
GFA,FPGA_MEAN,gfa_telemetry,degC,
GFA,CAMERAHUMID_MEAN,gfa_telemetry,degC,
GFA,CAMERATEMP_MEAN,gfa_telemetry,degC,
Guider,COMBINED_X,guider_centroids,,
Guider,COMBINED_Y,guider_centroids,,
Guider,DURATION,guider_summary,,
Guider,SEEING,guider_summary,,
Guider,FRAMES,guider_summary,,
Guider,MEANX,guider_summary,,
Guider,MEANY,guider_summary,,
Guider,MEANX2,guider_summary,,
Guider,MEANY2,guider_summary,,
Guider,MEANXY,guider_summary,,
Guider,MAXX,guider_summary,,
Guider,MAX,guider_summary,,
Telescope,AIR_FLOW,exposure,,from dictionary 'telescope'
Telescope,AIR_TEMP,exposure,,from dictionary 'telescope'
Telescope,TRUSS_TEMP,exposure,,from dictionary 'telescope'
Telescope,AIR_IN_TEMP,exposure,,from dictionary 'telescope'
