DEVICE_LOC,EXPID,EXPID.1,EXPOSURE,FIBER,FIBERASSIGN_X,FIBERASSIGN_Y,OFFSET_0,OFFSET_2,PETAL_LOC,TARGET_DEC,TARGET_RA,air_dewpoint,air_flow,air_in_temp,air_out_temp,air_temp,bus_id,casscage_i_temp,casscage_o_temp,centersection_i_temp,centersection_o_temp,chimney_ib_temp,chimney_im_temp,chimney_it_temp,chimney_os_temp,chimney_ow_temp,ctrl_enabled,decbore_temp,device_loc,dos_instance,environmentmonitor_telescope,exposure_id,exposure_iter,flags,flowrate_in,flowrate_out,glycol_in_temp,glycol_out_temp,hinge_s_temp,hinge_w_temp,last_meas_fwhm,last_meas_obs_x,last_meas_obs_y,last_meas_peak,log_note,mirror_avg_temp,mirror_desired_temp,mirror_eib_temp,mirror_eit_temp,mirror_eob_temp,mirror_eot_temp,mirror_nib_temp,mirror_nit_temp,mirror_nob_temp,mirror_not_temp,mirror_rtd_temp,mirror_sib_temp,mirror_sit_temp,mirror_sob_temp,mirror_sot_temp,mirror_status,mirror_temp,mirror_wib_temp,mirror_wit_temp,mirror_wob_temp,mirror_wot_temp,move_cmd,move_val1,move_val2,obs_x,obs_y,petal_id,pos_id,pos_move_index,pos_p,pos_t,primarycell_i_temp,primarycell_o_temp,probe1_humidity,probe1_temp,probe2_humidity,probe2_temp,ptl_x,ptl_y,ptl_z,row_status,row_status_time,row_status_user,servo_setpoint,site,telescope_timestamp,time_recorded,time_recorded.1,topring_s_temp,topring_w_temp,total_creep_moves_p,total_creep_moves_t,total_cruise_moves_p,total_cruise_moves_t,total_move_sequences,truss_etb_temp,truss_ett_temp,truss_ntb_temp,truss_ntt_temp,truss_stb_temp,truss_sts_temp,truss_stt_temp,truss_temp,truss_tsb_temp,truss_tsm_temp,truss_tst_temp,truss_wtb_temp,truss_wtt_temp,environmentmonitor_telescope,telescope_timestamp,mirror_avg_temp,mirror_desired_temp,servo_setpoint,air_temp,air_dewpoint,air_flow,probe1_humidity,probe1_temp,probe2_humidity,probe2_temp,flowrate_in,flowrate_out,mirror_rtd_temp,mirror_nib_temp,mirror_eib_temp,mirror_sib_temp,mirror_wib_temp,mirror_nob_temp,mirror_eob_temp,mirror_sob_temp,mirror_wob_temp,mirror_nit_temp,mirror_eit_temp,mirror_sit_temp,mirror_wit_temp,mirror_not_temp,mirror_eot_temp,mirror_sot_temp,mirror_wot_temp,glycol_in_temp,glycol_out_temp,air_in_temp,air_out_temp,truss_ntt_temp,truss_ett_temp,truss_stt_temp,truss_wtt_temp,truss_ntb_temp,truss_etb_temp,truss_stb_temp,truss_wtb_temp,truss_sts_temp,truss_tsb_temp,truss_tsm_temp,truss_tst_temp,topring_s_temp,topring_w_temp,hinge_s_temp,hinge_w_temp,chimney_os_temp,chimney_ow_temp,chimney_ib_temp,chimney_im_temp,chimney_it_temp,centersection_i_temp,centersection_o_temp,primarycell_i_temp,primarycell_o_temp,casscage_i_temp,casscage_o_temp,decbore_temp,mirror_status,time_recorded,dos_instance,row_status,row_status_time,row_status_user,mirror_temp,truss_temp,EXPID,petal_id,device_loc,pos_id,pos_move_index,time_recorded,bus_id,pos_t,pos_p,last_meas_obs_x,last_meas_obs_y,last_meas_peak,last_meas_fwhm,total_move_sequences,total_cruise_moves_t,total_cruise_moves_p,total_creep_moves_t,total_creep_moves_p,ctrl_enabled,move_cmd,move_val1,move_val2,log_note,exposure_id,exposure_iter,flags,obs_x,obs_y,ptl_x,ptl_y,ptl_z,site,EXPID
164.0,48382.0,48382.0,55587.0,2418.0,193.2125244140625,159.13668823242188,0.04031128874149275,0.001,4.0,1.2167487102930234,138.21472972348334,-9.677,0.0,6.8,6.8,2.448,can23,10.6,3.9,3.9,3.5,21.6,21.6,21.7,21.7,21.6,True,4.5,164.0,extern,4424351.0,,,,0.0,0.0,6.6,6.5,3.5,4.3,2.6816513449096404,195.894,160.178,0.498084435141424,,4.152,4.4,4.5,4.1,4.4,4.2,4.3,4.0,4.5,4.3,-99.9,4.4,4.2,4.4,4.3,ready,4.175,4.3,4.1,4.4,4.2,,,,,,8.0,M03770,5964.0,172.10227686502395,95.1449848968473,3.9,3.8,-100.0,-100.0,-99.99,-99.99,,,,M,2020-02-13 09:20:14.759610+00:00,desi_writer,40.0,kpno,2020-02-13 09:20:14,2020-02-13 09:20:14.757723+00:00,2020-02-13 09:22:37.742073+00:00,3.0,2.9,23170.0,23090.0,2536.0,2616.0,7505.0,3.5,3.0,3.3,3.1,3.5,3.7,3.1,3.867,3.8,4.0,3.8,3.2,3.0,4424351.0,2020-02-13 09:20:14,4.152,4.4,40.0,2.448,-9.677,0.0,-100.0,-100.0,-99.99,-99.99,0.0,0.0,-99.9,4.3,4.5,4.4,4.3,4.5,4.4,4.4,4.4,4.0,4.1,4.2,4.1,4.3,4.2,4.3,4.2,6.6,6.5,6.8,6.8,3.1,3.0,3.1,3.0,3.3,3.5,3.5,3.2,3.7,3.8,4.0,3.8,3.0,2.9,3.5,4.3,21.7,21.6,21.6,21.6,21.7,3.9,3.5,3.9,3.8,10.6,3.9,4.5,ready,2020-02-13 09:20:14.757723+00:00,extern,M,2020-02-13 09:20:14.759610+00:00,desi_writer,4.175,3.867,48382.0,8.0,164.0,M03770,5964.0,2020-02-13 09:22:37.742073+00:00,can23,95.1449848968473,172.102276865024,195.894,160.178,0.498084435141424,2.68165134490964,7505.0,2616.0,2536.0,23090.0,23170.0,True,,,,,,,,,,,,,kpno,48382.0
164.0,52112.0,52112.0,55589.0,2418.0,193.2125244140625,159.13668823242188,0.03535533905932738,0.01019803902718557,4.0,1.2167487102930234,138.21472972348334,-12.6,0.0,7.0,7.6,0.4270000000000001,can23,10.6,2.4,2.5,1.8,21.6,21.6,21.7,21.7,21.6,True,3.9,164.0,extern,4609571.0,,,,0.0,0.0,7.2,7.0,1.5,3.8,2.6816513449096404,194.89,157.429,0.498084435141424,['set fiducial parameters'],3.227,3.0,4.0,3.1,4.3,3.3,4.1,3.1,4.2,3.4,-99.9,3.8,3.0,4.4,3.2,ready,3.175,4.0,3.0,4.3,3.3,,,,,,8.0,M03770,9070.0,133.55279359218702,-45.1563601227649,3.4,3.2,-100.0,-100.0,-99.99,-99.99,,,,M,2020-02-26 07:06:03.339261+00:00,desi_writer,40.0,kpno,2020-02-26 07:06:02,2020-02-26 07:06:03.337400+00:00,2020-02-26 07:02:51.986857+00:00,0.6,0.5,29197.0,29065.0,2655.0,2787.0,8660.0,1.7,1.0,1.1,0.8,1.7,1.7,0.8,1.9,1.7,2.2,1.8,1.1,0.7,4609571.0,2020-02-26 07:06:02,3.227,3.0,40.0,0.427,-12.6,0.0,-100.0,-100.0,-99.99,-99.99,0.0,0.0,-99.9,4.1,4.0,3.8,4.0,4.2,4.3,4.4,4.3,3.1,3.1,3.0,3.0,3.4,3.3,3.2,3.3,7.2,7.0,7.0,7.6,0.8,1.0,0.8,0.7,1.1,1.7,1.7,1.1,1.7,1.7,2.2,1.8,0.6,0.5,1.5,3.8,21.7,21.6,21.6,21.6,21.7,2.5,1.8,3.4,3.2,10.6,2.4,3.9,ready,2020-02-26 07:06:03.337400+00:00,extern,M,2020-02-26 07:06:03.339261+00:00,desi_writer,3.175,1.9,52112.0,8.0,164.0,M03770,9070.0,2020-02-26 07:02:51.986857+00:00,can23,-45.1563601227649,133.552793592187,194.89,157.429,0.498084435141424,2.68165134490964,8660.0,2787.0,2655.0,29065.0,29197.0,True,,,,['set fiducial parameters'],,,,,,,,,kpno,52112.0
164.0,48364.0,48364.0,55590.0,2418.0,193.2125244140625,159.13668823242188,0.03360059523282288,0.0031622776601683803,4.0,1.2167487102930234,138.21472972348334,-9.94,0.0,6.6,6.8,3.195,can23,10.6,4.4,4.1,4.2,21.6,21.6,21.7,21.7,21.6,True,4.6,164.0,extern,4423331.0,,,,0.0,0.0,6.9,6.8,4.5,4.6,2.6816513449096404,196.057,156.611,0.498084435141424,,4.392,3.0,4.5,4.5,4.4,4.4,4.4,4.4,4.5,4.6,-99.9,4.5,4.3,4.4,4.5,ready,4.412,4.3,4.3,4.3,4.3,,,,,,8.0,M03770,5879.0,117.68109229712299,-11.206865473523099,4.0,3.9,-100.0,-100.0,-99.99,-99.99,,,,M,2020-02-13 07:39:56.030430+00:00,desi_writer,40.0,kpno,2020-02-13 07:39:55,2020-02-13 07:39:56.028528+00:00,2020-02-13 07:43:14.081199+00:00,3.7,3.2,22949.0,22870.0,2535.0,2614.0,7467.0,4.0,3.4,3.9,3.6,4.1,4.3,3.7,4.567,4.8,4.5,4.4,3.7,3.3,4423331.0,2020-02-13 07:39:55,4.392,3.0,40.0,3.195,-9.94,0.0,-100.0,-100.0,-99.99,-99.99,0.0,0.0,-99.9,4.4,4.5,4.5,4.3,4.5,4.4,4.4,4.3,4.4,4.5,4.3,4.3,4.6,4.4,4.5,4.3,6.9,6.8,6.6,6.8,3.6,3.4,3.7,3.3,3.9,4.0,4.1,3.7,4.3,4.8,4.5,4.4,3.7,3.2,4.5,4.6,21.7,21.6,21.6,21.6,21.7,4.1,4.2,4.0,3.9,10.6,4.4,4.6,ready,2020-02-13 07:39:56.028528+00:00,extern,M,2020-02-13 07:39:56.030430+00:00,desi_writer,4.412,4.567,48364.0,8.0,164.0,M03770,5879.0,2020-02-13 07:43:14.081199+00:00,can23,-11.2068654735231,117.681092297123,196.057,156.611,0.498084435141424,2.68165134490964,7467.0,2614.0,2535.0,22870.0,22949.0,True,,,,,,,,,,,,,kpno,48364.0
164.0,52113.0,52113.0,55591.0,2418.0,193.2125244140625,159.13668823242188,0.0378021163428716,0.00412310562561766,4.0,1.2167487102930234,138.21472972348334,-13.45,0.0,6.3,7.9,0.518,can23,10.6,2.2,2.3,1.7,21.6,21.6,21.7,21.7,21.6,True,3.9,164.0,extern,4609751.0,,,,0.0,0.0,7.2,7.1,1.9,3.5,2.6816513449096404,194.939,157.47,0.498084435141424,['set fiducial parameters'],3.184,3.0,3.8,3.1,4.2,3.3,4.0,3.2,4.1,3.5,-99.9,3.8,3.0,4.3,3.3,ready,3.2,3.9,2.9,4.1,3.3,,,,,,8.0,M03770,9077.0,133.663327453173,-45.0009370888725,3.2,3.1,-100.0,-100.0,-99.99,-99.99,,,,M,2020-02-26 07:24:15.514568+00:00,desi_writer,40.0,kpno,2020-02-26 07:24:15,2020-02-26 07:24:15.512428+00:00,2020-02-26 07:26:12.517198+00:00,0.9,0.7,29213.0,29081.0,2655.0,2787.0,8663.0,1.6,1.0,1.0,0.8,1.7,1.6,1.0,1.933,2.1,1.8,1.9,1.2,0.7,4609751.0,2020-02-26 07:24:15,3.184,3.0,40.0,0.518,-13.45,0.0,-100.0,-100.0,-99.99,-99.99,0.0,0.0,-99.9,4.0,3.8,3.8,3.9,4.1,4.2,4.3,4.1,3.2,3.1,3.0,2.9,3.5,3.3,3.3,3.3,7.2,7.1,6.3,7.9,0.8,1.0,1.0,0.7,1.0,1.6,1.7,1.2,1.6,2.1,1.8,1.9,0.9,0.7,1.9,3.5,21.7,21.6,21.6,21.6,21.7,2.3,1.7,3.2,3.1,10.6,2.2,3.9,ready,2020-02-26 07:24:15.512428+00:00,extern,M,2020-02-26 07:24:15.514568+00:00,desi_writer,3.2,1.933,52113.0,8.0,164.0,M03770,9077.0,2020-02-26 07:26:12.517198+00:00,can23,-45.0009370888725,133.663327453173,194.939,157.47,0.498084435141424,2.68165134490964,8663.0,2787.0,2655.0,29081.0,29213.0,True,,,,['set fiducial parameters'],,,,,,,,,kpno,52113.0
164.0,44615.0,44615.0,55592.0,2418.0,193.2125244140625,159.13668823242188,0.030479501308256336,0.005099019513592785,4.0,1.2167487102930234,138.21472972348334,-5.0,0.0,8.1,7.9,4.482,can23,10.6,5.1,5.1,5.1,21.6,21.6,21.7,21.7,21.6,True,6.2,164.0,extern,4195031.0,,,,0.0,0.0,7.6,7.4,5.7,5.7,2.6816513449096404,192.397,158.872,0.498084435141424,,5.669,3.0,5.9,5.5,6.0,5.8,5.9,5.5,6.0,5.9,-99.9,5.9,5.5,6.1,5.7,ready,5.65,5.8,5.6,6.0,5.7,,,,,,8.0,M03770,4076.0,114.435782932513,-92.6611396611902,5.3,5.3,-100.0,-100.0,-99.99,-99.99,,,,M,2020-01-28 12:04:32.617584+00:00,desi_writer,40.0,kpno,2020-01-28 12:04:31,2020-01-28 12:04:32.615514+00:00,2020-01-28 12:06:02.548054+00:00,5.2,4.9,20207.0,20138.0,2407.0,2476.0,6909.0,4.6,4.3,4.4,4.2,4.7,4.8,4.7,5.867000000000001,6.1,5.9,5.6,4.2,3.9,4195031.0,2020-01-28 12:04:31,5.669,3.0,40.0,4.482,-5.0,0.0,-100.0,-100.0,-99.99,-99.99,0.0,0.0,-99.9,5.9,5.9,5.9,5.8,6.0,6.0,6.1,6.0,5.5,5.5,5.5,5.6,5.9,5.8,5.7,5.7,7.6,7.4,8.1,7.9,4.2,4.3,4.7,3.9,4.4,4.6,4.7,4.2,4.8,6.1,5.9,5.6,5.2,4.9,5.7,5.7,21.7,21.6,21.6,21.6,21.7,5.1,5.1,5.3,5.3,10.6,5.1,6.2,ready,2020-01-28 12:04:32.615514+00:00,extern,M,2020-01-28 12:04:32.617584+00:00,desi_writer,5.65,5.867,44615.0,8.0,164.0,M03770,4076.0,2020-01-28 12:06:02.548054+00:00,can23,-92.6611396611902,114.435782932513,192.397,158.872,0.498084435141424,2.68165134490964,6909.0,2476.0,2407.0,20138.0,20207.0,True,,,,,,,,,,,,,kpno,44615.0
164.0,53892.0,53892.0,55593.0,2418.0,193.2125244140625,159.13668823242188,0.020248456731316585,0.001,4.0,1.2167487102930234,138.21472972348334,1.843,0.0,11.0,11.4,6.693,can23,10.6,8.8,7.9,8.5,21.6,21.6,21.7,21.7,21.6,True,8.4,164.0,extern,4767131.0,,,,0.0,0.0,10.6,10.7,8.0,8.7,2.6816513449096404,197.167,159.136,0.498084435141424,['set fiducial parameters'],8.065,6.0,8.1,7.9,8.5,8.1,8.2,8.0,9.3,8.9,-99.9,8.1,7.8,7.8,7.8,ready,8.05,8.1,7.9,8.2,8.0,,,,,,8.0,M03770,10968.0,149.735351690041,32.4127848744199,7.8,7.8,-100.0,-100.0,-99.99,-99.99,,,,M,2020-03-08 06:21:38.375684+00:00,desi_writer,40.0,kpno,2020-03-08 06:21:37,2020-03-08 06:21:38.373156+00:00,2020-03-08 06:23:23.529049+00:00,7.5,7.2,33211.0,33070.0,2792.0,2933.0,9417.0,8.3,8.1,8.2,8.0,8.2,8.7,7.4,8.067,8.0,8.0,8.2,8.1,8.0,4767131.0,2020-03-08 06:21:37,8.065,6.0,40.0,6.693,1.843,0.0,-100.0,-100.0,-99.99,-99.99,0.0,0.0,-99.9,8.2,8.1,8.1,8.1,9.3,8.5,7.8,8.2,8.0,7.9,7.8,7.9,8.9,8.1,7.8,8.0,10.6,10.7,11.0,11.4,8.0,8.1,7.4,8.0,8.2,8.3,8.2,8.1,8.7,8.0,8.0,8.2,7.5,7.2,8.0,8.7,21.7,21.6,21.6,21.6,21.7,7.9,8.5,7.8,7.8,10.6,8.8,8.4,ready,2020-03-08 06:21:38.373156+00:00,extern,M,2020-03-08 06:21:38.375684+00:00,desi_writer,8.05,8.067,53892.0,8.0,164.0,M03770,10968.0,2020-03-08 06:23:23.529049+00:00,can23,32.4127848744199,149.735351690041,197.167,159.136,0.498084435141424,2.68165134490964,9417.0,2933.0,2792.0,33070.0,33211.0,True,,,,['set fiducial parameters'],,,,,,,,,kpno,53892.0
164.0,49713.0,49713.0,55594.0,2418.0,193.2125244140625,159.13668823242188,0.02360084744241189,0.006999999999999999,4.0,1.2167487102930234,138.21472972348334,-4.363,0.0,10.7,10.6,7.903,can23,10.6,8.8,8.6,8.4,21.6,21.6,21.7,21.7,21.6,True,9.2,164.0,extern,4497731.0,,,,0.0,0.0,10.6,10.4,9.1,9.3,2.6816513449096404,193.475,162.04,0.498084435141424,,8.49,6.0,8.6,8.3,8.9,8.6,8.6,8.4,8.9,8.7,-99.9,8.7,8.3,8.8,8.6,ready,8.475,8.5,8.3,8.8,8.6,,,,,,8.0,M03770,8206.0,118.597849127655,-158.427147032962,8.7,8.7,-100.0,-100.0,-99.99,-99.99,,,,M,2020-02-18 12:40:55.909332+00:00,desi_writer,40.0,kpno,2020-02-18 12:40:55,2020-02-18 12:40:55.907306+00:00,2020-02-18 12:41:04.531475+00:00,8.5,8.1,27761.0,27635.0,2623.0,2749.0,8383.0,8.1,7.8,7.9,7.9,8.2,8.4,8.0,9.033,9.3,9.1,8.7,7.9,7.8,4497731.0,2020-02-18 12:40:55,8.49,6.0,40.0,7.903,-4.363,0.0,-100.0,-100.0,-99.99,-99.99,0.0,0.0,-99.9,8.6,8.6,8.7,8.5,8.9,8.9,8.8,8.8,8.4,8.3,8.3,8.3,8.7,8.6,8.6,8.6,10.6,10.4,10.7,10.6,7.9,7.8,8.0,7.8,7.9,8.1,8.2,7.9,8.4,9.3,9.1,8.7,8.5,8.1,9.1,9.3,21.7,21.6,21.6,21.6,21.7,8.6,8.4,8.7,8.7,10.6,8.8,9.2,ready,2020-02-18 12:40:55.907306+00:00,extern,M,2020-02-18 12:40:55.909332+00:00,desi_writer,8.475,9.033,49713.0,8.0,164.0,M03770,8206.0,2020-02-18 12:41:04.531475+00:00,can23,-158.427147032962,118.597849127655,193.475,162.04,0.498084435141424,2.68165134490964,8383.0,2749.0,2623.0,27635.0,27761.0,True,,,,,,,,,,,,,kpno,49713.0
164.0,52114.0,52114.0,55611.0,2418.0,194.4682922363281,157.04454040527344,0.05950630218724736,0.004242640687119285,4.0,54.037540496312026,213.4264892580627,-12.8,0.0,7.1,7.7,0.108,can23,10.6,2.2,2.3,1.7,21.6,21.6,21.7,21.7,21.6,True,3.7,164.0,extern,4609991.0,,,,0.0,0.0,7.2,7.0,1.5,3.6,2.6816513449096404,194.93400000000003,157.495,0.498084435141424,['set fiducial parameters'],3.0660000000000003,3.0,3.8,3.0,4.2,3.2,4.0,3.0,3.9,3.3,-99.9,3.7,3.0,4.3,3.1,ready,3.075,3.9,2.8,4.1,3.2,,,,,,8.0,M03770,9084.0,133.776987581289,-44.9717540010656,3.2,3.0,-100.0,-100.0,-99.99,-99.99,,,,M,2020-02-26 07:48:13.972272+00:00,desi_writer,40.0,kpno,2020-02-26 07:48:13,2020-02-26 07:48:13.970602+00:00,2020-02-26 07:48:55.500635+00:00,0.4,0.4,29229.0,29097.0,2655.0,2787.0,8666.0,1.4,0.8,0.9,0.6,1.6,1.6,0.7,1.533,1.7,1.4,1.5,1.0,0.6,4609991.0,2020-02-26 07:48:13,3.066,3.0,40.0,0.108,-12.8,0.0,-100.0,-100.0,-99.99,-99.99,0.0,0.0,-99.9,4.0,3.8,3.7,3.9,3.9,4.2,4.3,4.1,3.0,3.0,3.0,2.8,3.3,3.2,3.1,3.2,7.2,7.0,7.1,7.7,0.6,0.8,0.7,0.6,0.9,1.4,1.6,1.0,1.6,1.7,1.4,1.5,0.4,0.4,1.5,3.6,21.7,21.6,21.6,21.6,21.7,2.3,1.7,3.2,3.0,10.6,2.2,3.7,ready,2020-02-26 07:48:13.970602+00:00,extern,M,2020-02-26 07:48:13.972272+00:00,desi_writer,3.075,1.533,52114.0,8.0,164.0,M03770,9084.0,2020-02-26 07:48:55.500635+00:00,can23,-44.9717540010656,133.776987581289,194.934,157.495,0.498084435141424,2.68165134490964,8666.0,2787.0,2655.0,29097.0,29229.0,True,,,,['set fiducial parameters'],,,,,,,,,kpno,52114.0
164.0,51039.0,51039.0,55612.0,2418.0,194.4682922363281,157.04454040527344,0.05442425929675111,0.0031622776601683803,4.0,54.037540496312026,213.4264892580627,-3.99,0.0,11.4,11.3,8.857999999999997,can23,10.6,10.2,9.6,9.7,21.6,21.6,21.7,21.7,21.6,True,9.7,164.0,extern,4523951.0,,,,0.0,0.0,11.1,11.1,10.4,10.2,2.6816513449096404,197.908,161.763,0.498084435141424,['set fiducial parameters'],9.357,7.0,9.4,9.3,9.5,9.4,9.2,9.2,9.5,9.4,-99.9,9.5,9.4,9.3,9.5,ready,9.337,9.2,9.2,9.3,9.3,,,,,,8.0,M03770,8525.0,118.612727633165,110.441547196819,9.3,9.2,-100.0,-100.0,-99.99,-99.99,,,,M,2020-02-20 08:08:03.165405+00:00,desi_writer,40.0,kpno,2020-02-20 08:08:02,2020-02-20 08:08:03.163347+00:00,2020-02-20 08:07:55.455701+00:00,10.0,9.6,28271.0,28144.0,2631.0,2758.0,8477.0,9.5,9.5,9.8,9.8,9.6,10.0,9.6,10.4,10.5,10.5,10.2,9.7,9.7,4523951.0,2020-02-20 08:08:02,9.357,7.0,40.0,8.858,-3.99,0.0,-100.0,-100.0,-99.99,-99.99,0.0,0.0,-99.9,9.2,9.4,9.5,9.2,9.5,9.5,9.3,9.3,9.2,9.3,9.4,9.2,9.4,9.4,9.5,9.3,11.1,11.1,11.4,11.3,9.8,9.5,9.6,9.7,9.8,9.5,9.6,9.7,10.0,10.5,10.5,10.2,10.0,9.6,10.4,10.2,21.7,21.6,21.6,21.6,21.7,9.6,9.7,9.3,9.2,10.6,10.2,9.7,ready,2020-02-20 08:08:03.163347+00:00,extern,M,2020-02-20 08:08:03.165405+00:00,desi_writer,9.337,10.4,51039.0,8.0,164.0,M03770,8525.0,2020-02-20 08:07:55.455701+00:00,can23,110.441547196819,118.612727633165,197.908,161.763,0.498084435141424,2.68165134490964,8477.0,2758.0,2631.0,28144.0,28271.0,True,,,,['set fiducial parameters'],,,,,,,,,kpno,51039.0
164.0,48371.0,48371.0,55613.0,2418.0,194.4682922363281,157.04454040527344,0.052924474489596966,0.009219544457292887,4.0,54.037540496312026,213.4264892580627,-9.7,0.0,6.7,6.8,2.915,can23,10.6,4.2,4.1,4.1,21.6,21.6,21.7,21.7,21.6,True,4.6,164.0,extern,4423751.0,,,,0.0,0.0,6.8,6.6,4.2,4.6,2.6816513449096404,196.092,156.711,0.498084435141424,,4.244,3.0,4.5,4.3,4.5,4.2,4.4,4.1,4.6,4.4,-99.9,4.5,4.2,4.5,4.3,ready,4.225,4.4,4.2,4.4,4.1,,,,,,8.0,M03770,5928.0,119.718681679839,-11.3023126340169,4.0,4.0,-100.0,-100.0,-99.99,-99.99,,,,M,2020-02-13 08:20:49.647094+00:00,desi_writer,40.0,kpno,2020-02-13 08:20:49,2020-02-13 08:20:49.645177+00:00,2020-02-13 08:20:15.945002+00:00,3.4,3.0,23060.0,22981.0,2535.0,2614.0,7488.0,3.9,3.2,3.6,3.4,4.0,4.1,3.3,4.067,4.2,4.0,4.0,3.5,3.2,4423751.0,2020-02-13 08:20:49,4.244,3.0,40.0,2.915,-9.7,0.0,-100.0,-100.0,-99.99,-99.99,0.0,0.0,-99.9,4.4,4.5,4.5,4.4,4.6,4.5,4.5,4.4,4.1,4.3,4.2,4.2,4.4,4.2,4.3,4.1,6.8,6.6,6.7,6.8,3.4,3.2,3.3,3.2,3.6,3.9,4.0,3.5,4.1,4.2,4.0,4.0,3.4,3.0,4.2,4.6,21.7,21.6,21.6,21.6,21.7,4.1,4.1,4.0,4.0,10.6,4.2,4.6,ready,2020-02-13 08:20:49.645177+00:00,extern,M,2020-02-13 08:20:49.647094+00:00,desi_writer,4.225,4.067,48371.0,8.0,164.0,M03770,5928.0,2020-02-13 08:20:15.945002+00:00,can23,-11.3023126340169,119.718681679839,196.092,156.711,0.498084435141424,2.68165134490964,7488.0,2614.0,2535.0,22981.0,23060.0,True,,,,,,,,,,,,,kpno,48371.0
