DEVICE_LOC,EXPOSURE,FIBER,FIBERASSIGN_X,FIBERASSIGN_Y,OFFSET_0,OFFSET_2,OFFSET_FINAL,PETAL_LOC,TARGET_DEC,TARGET_RA,petal_id,device_loc,pos_id,pos_move_index,time_recorded,bus_id,pos_t,pos_p,last_meas_obs_x,last_meas_obs_y,last_meas_peak,last_meas_fwhm,total_move_sequences,total_cruise_moves_t,total_cruise_moves_p,total_creep_moves_t,total_creep_moves_p,ctrl_enabled,move_cmd,move_val1,move_val2,log_note,exposure_id,exposure_iter,flags,obs_x,obs_y,ptl_x,ptl_y,ptl_z,site,skyra,skydec,exptime,tileid,airmass,mountha,zd,mountaz,domeaz,reqra,reqdec,targtra,targtdec,zenith,mjd_obs,moonra,moondec,max_blind,max_blind_95,rms_blind,rms_blind_95,max_corr,max_corr_95,rms_corr,rms_corr_95,mirror_temp,truss_temp,air_temp,mirror_avg_temp,wind_speed,wind_direction,humidity,pressure,temperature,dewpoint,shutter_open,exptime_sec,psf_pixels,guide_meanx,guide_meany,guide_meanx2,guide_meany2,guide_meanxy,guide_maxx,guide_maxy,guider_combined_x,guider_combined_y,hex_trim,hex_rot_rate,hex_status,hex_rot_offset,hex_rot_enabled,hex_position,hex_rot_interval,hex_tweak,adc_status,adc_status.1,adc_home1,adc_home2,adc_nrev1,adc_nrev2,adc_angle1,adc_angle2,adc_status.2,adc_status.3,adc_status1,adc_status2,adc_rem_time1,adc_rem_time2
434.0,49687.0,2561.0,-64.06175231933594,343.0398864746094,0.06095900261651267,,0.06952697318307477,5.0,3.066516282193468,150.25400060206613,10,434,M06828,10533,2020-03-15 05:23:05.876956+00:00,can14,-28.281644228390398,132.938335274568,-63.528,343.957,1.0,2.123,9924,3121,2955,34640,34806,True,,,,['set fiducial parameters'],,,,,,,,,kpno,149.995422,1.692891,600.0,63533.0,1.2598799999999999,23.504214,37.505334000000005,220.901636,221.14,1.7,1e+20,1e+20,1e+20,b'False',58897.38137771,268.85013399999997,-22.713260000000002,4739.818667417562,2432.940335974225,843.1933038659587,2432.940335974225,5569.083587090428,11.31370849898476,334.4773298951625,11.31370849898476,8.737,9.433,8.083,8.717,15.1,204.0,33.1,788.7,8.4,-6.9,0.0,2.0,2.65,-0.013000000000000001,-0.019,0.054000000000000006,0.024,0.009000000000000001,0.5329999999999999,0.414,-1.30741362343118,-1.64422246164217,"b'[0.0, 0.0, -250.0, 0.0, 0.0, 0.0]'",1e+20,b'SUCCESS',1e+20,b'?',"b'[1407.6, -240.9, 156.5, -16.9, 37.1, 232.9]'",1e+20,"b'[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]'",b'FAILED',b'SUCCESS',b'False',b'False',-1.0,0.0,7.8199539999999965,58.79231,b'FAILED',b'SUCCESS',b'STOPPED',b'STOPPED',1e+20,1e+20
434.0,49713.0,2561.0,-60.74147033691406,346.5931701660156,0.12261321299109652,,0.0063245553203367605,5.0,54.77847099050781,215.17420660981568,10,434,M06828,8484,2020-02-26 05:51:16.860302+00:00,can14,84.42782465023359,152.765019493309,-62.773999999999994,347.26800000000003,1.0,2.123,9143,2981,2823,30462,30620,True,,,,['set fiducial parameters'],,,,,,,,,kpno,214.74685899999997,53.403921,400.0,63541.0,1.086458,11.709876,23.034347,341.987181,345.691,53.4,1e+20,1e+20,1e+20,b'False',58897.52807965,270.906009,-22.883696,4558.377891311777,1763.4273963941891,708.281797770359,1763.4273963941891,5918.608113399636,27.018512172212592,339.0180740934675,27.018512172212592,8.5,9.0,7.895,8.491,16.1,235.8,31.0,788.7,8.0,-8.1,0.0,2.0,2.654,0.022000000000000002,0.005,0.005,0.005,-0.001,0.213,0.16,0.545653467114337,-1.0040808733662399,"b'[0.0, 0.0, -60.0, 0.0, 0.0, 0.0]'",1e+20,b'SUCCESS',1e+20,b'?',"b'[1143.2, -727.4, 427.5, 5.1, 34.9, 80.6]'",1e+20,"b'[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]'",b'FAILED',b'SUCCESS',b'False',b'False',-1.0,0.0,141.790176,167.610552,b'FAILED',b'SUCCESS',b'STOPPED',b'STOPPED',1e+20,1e+20
434.0,49706.0,2561.0,-60.74147033691406,346.5931701660156,0.12401612798341995,,0.005385164807134504,5.0,54.77847099050781,215.17420660981568,10,434,M06828,5181,2020-02-13 07:04:32.193441+00:00,can14,-144.817417177698,124.537907365819,-66.403,347.44699999999995,1.0,2.123,7843,2796,2705,23675,23766,True,,,,,,,,,,,,,kpno,214.753308,53.40391999999999,600.0,63541.0,1.0867209999999998,-11.833967,23.067049,18.182299,10.867,53.4,1e+20,1e+20,1e+20,b'False',58897.46288113,269.994541,-22.811444,4493.738866467433,1865.793627288737,712.6795425089786,1865.793627288737,5941.377702183223,11.940939982143846,338.0808199106782,11.940939982143846,8.662,9.067,7.792999999999999,8.69,15.0,229.5,32.1,788.6,8.0,-7.7,0.0,2.0,2.65,-0.044000000000000004,-0.01,0.006,0.003,0.001,0.141,0.132,-0.7127108066012672,-0.25681925257613397,"b'[0.0, 0.0, -60.0, 0.0, 0.0, 0.0]'",1e+20,b'SUCCESS',1e+20,b'?',"b'[1069.3, -658.5, 404.4, 8.1, 22.4, 21.7]'",1e+20,"b'[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]'",b'FAILED',b'SUCCESS',b'False',b'False',-1.0,0.0,193.929723,220.04880099999997,b'FAILED',b'SUCCESS',b'STOPPED',b'STOPPED',1e+20,1e+20
434.0,49669.0,2561.0,-61.7115364074707,344.1094665527344,0.08614522621712709,,0.004472135954999579,5.0,40.87051826012698,122.32063012674324,10,434,M06828,4695,2020-02-08 10:49:41.356838+00:00,can14,141.00459485128098,124.81707314041,-60.998999999999995,348.04400000000004,1.0,2.123,7666,2765,2643,22798,22920,True,,,,,,,,,,,,,kpno,121.99805900000001,39.501191,1e+20,63511.0,1.0206790000000001,10.828019,11.563528,313.685813,338.457,39.5,1e+20,1e+20,1e+20,b'False',58897.26871195,267.278789,-22.564915,3940.945698687055,145.09299434943497,189.8232222849394,145.09299434943497,1483.4614925908932,8.602325267042627,30.424792098262092,8.602325267042627,8.413,9.167,8.073,8.437999999999999,12.8,206.8,37.0,789.0,8.6,-5.4,0.0,2.0,2.6510000000000002,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,0.28956639936803,-0.36727270342555607,"b'[0.0, 0.0, -250.0, 0.0, 0.0, 0.0]'",1e+20,b'SUCCESS',1e+20,b'?',"b'[1344.3, -698.5, 204.5, 4.4, 45.2, 183.6]'",1e+20,"b'[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]'",b'FAILED',b'SUCCESS',b'False',b'False',-1.0,0.0,122.770234,134.41959,b'FAILED',b'SUCCESS',b'STOPPED',b'STOPPED',1e+20,1e+20
434.0,49658.0,2561.0,-61.7115364074707,344.1094665527344,0.09060905032059437,,0.00282842712474619,5.0,40.87051826012698,122.32063012674324,10,434,M06828,5296,2020-02-13 09:07:16.131792+00:00,can14,-42.5694982888088,144.087975760881,-63.855,344.51099999999997,1.0,2.123,7894,2799,2707,23961,24053,True,,,,,,,,,,,,,kpno,122.00535900000001,39.500859999999996,600.0,63511.0,1.078282,-25.566135,21.987901,62.79512,54.415,39.5,1e+20,1e+20,1e+20,b'False',58897.16791627,265.872332,-22.418864000000003,3933.0833960138707,143.61580683450305,188.21479571373246,143.61580683450305,1464.2134407250878,6.324555320336759,29.978559754328092,6.324555320336759,8.312000000000001,9.567,8.05,8.294,18.1,226.6,42.0,788.7,7.8,-4.4,0.0,2.0,2.653,-0.045,0.03,0.022000000000000002,0.013000000000000001,0.002,0.374,0.302,-0.6894775746857379,-0.262009651384784,"b'[0.0, 0.0, -400.0, 0.0, 0.0, 0.0]'",1e+20,b'SUCCESS',1e+20,b'?',"b'[889.5, -592.3, 13.7, 1.4, 15.4, 117.7]'",1e+20,"b'[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]'",b'FAILED',b'SUCCESS',b'False',b'False',-1.0,0.0,245.959726,271.05967999999996,b'FAILED',b'SUCCESS',b'STOPPED',b'STOPPED',1e+20,1e+20
434.0,49657.0,2561.0,-62.47521209716797,348.96966552734375,0.12601983970788092,,0.003,5.0,39.38876163051355,105.31681217875985,10,434,M06828,3388,2020-01-28 09:56:31.491139+00:00,can14,102.95739762557601,127.617284393633,-61.982,348.28,1.0,2.123,7306,2684,2585,21008,21107,True,,,,,,,,,,,,,kpno,105.00225,38.00092,60.0,63075.0,1.0194450000000002,-11.560794999999999,11.21911,54.26023299999999,54.58,38.0,1e+20,1e+20,1e+20,b'False',58897.15961864,265.75595,-22.406218,3357.9918105915626,144.40140635914014,176.8055188998269,144.40140635914014,906.4132611563007,5.385164807134505,17.024136802181705,5.385164807134505,8.237,9.567,8.055,8.277999999999999,20.1,229.7,42.0,788.7,7.8,-4.4,0.0,0.0,2.661,-0.045,0.03,0.022000000000000002,0.013000000000000001,0.002,0.374,0.302,-0.143196360764207,1.37493944382623,"b'[0.0, 0.0, -350.0, 0.0, 0.0, 0.0]'",1e+20,b'SUCCESS',1e+20,b'?',"b'[941.9, -496.6, 50.5, -2.7, 14.4, 160.7]'",1e+20,"b'[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]'",b'FAILED',b'SUCCESS',b'False',b'False',-1.0,0.0,236.710163,248.829302,b'FAILED',b'SUCCESS',b'STOPPED',b'STOPPED',1e+20,1e+20
434.0,48771.0,2561.0,-63.20432662963867,344.1863708496094,0.01,,0.004472135954999579,5.0,80.83971488083928,131.84336979347916,10,434,M06828,3137,2020-01-26 05:22:45.756606+00:00,can14,110.627235209944,147.494908853131,-60.724,346.361,1.0,2.123,7221,2671,2572,20607,20706,True,,,,,,,,,,,,,kpno,130.3305,79.4826,5.0,63202.0,1.481277,6.497003,47.596517,358.39718799999997,354.975,79.47,1e+20,1e+20,1e+20,b'False',58894.28798348,226.238025,-13.322397,4475.079887555082,126.51244578092931,321.1426350892576,126.51244578092931,3613.595024349021,8.94427190999916,107.59127981207264,8.94427190999916,6.513,7.367000000000001,6.215,6.517,23.6,177.2,32.0,792.1,6.5,-9.0,0.0,2.0,2.655,0.013000000000000001,-0.054000000000000006,0.008,0.006,-0.003,0.13,0.055,-0.6532616966113921,-1.4886747477423399,"b'[0.0, 0.0, -131.0, 0.0, 0.0, 0.0]'",1e+20,b'SUCCESS',1e+20,b'?',"b'[1117.7, -820.8, 491.1, 15.2, 30.4, 131.5]'",1e+20,"b'[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]'",b'FAILED',b'SUCCESS',b'False',b'False',-1.0,0.0,132.890098,213.090102,b'FAILED',b'SUCCESS',b'STOPPED',b'STOPPED',1e+20,1e+20
434.0,48766.0,2561.0,-62.47521209716797,348.96966552734375,0.06360031446463138,,0.004472135954999579,5.0,39.38876163051355,105.31681217875985,10,434,M06828,8491,2020-02-26 06:06:57.213327+00:00,can14,126.043292328347,126.00172936245501,-62.778,347.265,1.0,2.123,9146,2982,2824,30477,30635,True,,,,['set fiducial parameters'],,,,,,,,,kpno,104.99532099999999,38.000640000000004,60.0,63075.0,1.069669,24.399387,20.812910000000002,293.63203300000004,289.913,38.0,1e+20,1e+20,1e+20,b'False',58894.26742081,225.95718399999998,-13.226234,4581.880072633941,128.7888880017585,355.7059089065565,128.7888880017585,3407.920920444017,7.211102550927979,76.4211395186655,7.211102550927979,6.513,7.433,6.278,6.492999999999999,24.5,165.2,36.3,791.7,6.5,-7.4,0.0,0.0,2.641,-0.034,0.0,0.006999999999999999,0.004,0.001,0.121,0.066,-0.11482006248575098,-0.587755834611989,"b'[0.0, 0.0, -131.0, 0.0, 0.0, 0.0]'",1e+20,b'SUCCESS',1e+20,b'?',"b'[1396.2, -584.6, 510.2, 3.0, 40.7, 228.9]'",1e+20,"b'[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]'",b'FAILED',b'SUCCESS',b'False',b'False',-1.0,0.0,88.92953399999998,111.24003700000002,b'FAILED',b'SUCCESS',b'STOPPED',b'STOPPED',1e+20,1e+20
434.0,48755.0,2561.0,-62.47521209716797,348.96966552734375,0.0451220566907139,,0.007280109889280519,5.0,39.38876163051355,105.31681217875985,10,434,M06828,4704,2020-02-08 11:30:21.879994+00:00,can14,141.015265962392,124.80373425152099,-63.475,349.194,1.0,2.123,7670,2765,2643,22818,22940,True,,,,,,,,,,,,,kpno,105.00119199999999,38.00097,60.0,63075.0,1.009657,-6.29841,7.938155999999999,38.75336,44.537,38.0,1e+20,1e+20,1e+20,b'False',58894.18237348,224.81585800000002,-12.831517999999999,4400.345100102945,119.40028778856428,368.4567930677507,119.40028778856428,1562.5312796869061,9.486832980505136,49.66899056677124,9.486832980505136,6.388,8.2,6.832999999999999,6.3660000000000005,18.3,140.2,28.2,791.7,6.9,-10.3,0.0,0.0,3.363,0.09300000000000001,0.032,0.009000000000000001,0.01,0.006,0.237,0.162,0.0794729775706956,0.191424374548898,"b'[0.0, 0.0, -131.0, 0.0, 0.0, 0.0]'",1e+20,b'SUCCESS',1e+20,b'?',"b'[997.4, -480.7, 461.9, -3.2, 16.9, 175.6]'",1e+20,"b'[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]'",b'FAILED',b'SUCCESS',b'False',b'False',0.0,0.0,220.090743,228.458929,b'FAILED',b'SUCCESS',b'STOPPED',b'STOPPED',1e+20,1e+20
434.0,47773.0,2561.0,-66.57208251953125,347.6150207519531,0.1158015543937127,,0.0,5.0,33.273543183418326,106.65275245906281,10,434,M06828,11035,2020-03-16 12:30:51.111300+00:00,can14,0.9174290417426121,137.170529229141,-62.407,344.603,1.0,2.123,10124,3136,2966,35690,35860,True,,,,['set fiducial parameters'],,,,,,,,,kpno,106.33958,31.889981,5.0,63162.0,1.001024,3.0557540000000003,2.594447,269.18917999999996,269.337,31.89,1e+20,1e+20,1e+20,b'False',58888.22837239,141.97093600000002,18.514402,1177.595006782892,225.27139087314296,121.56800688049505,225.27139087314296,1085.8259529040554,9.219544457292887,18.930548689389166,9.219544457292887,7.3,8.367,7.028,7.26,44.9,193.3,27.8,787.3,7.1,-10.4,0.0,2.0,2.6519999999999997,0.009000000000000001,-0.013999999999999999,0.11699999999999999,0.02,0.006,0.758,0.434,-0.743948304561672,-1.42486587571713,"b'[0.0, 0.0, -290.0, 0.0, 0.0, 0.0]'",1e+20,b'SUCCESS',1e+20,b'?',"b'[1140.0, -480.0, 278.6, -3.0, 25.0, 187.0]'",1e+20,"b'[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]'",b'FAILED',b'SUCCESS',b'False',b'False',-1.0,1.0,86.09977600000002,88.739078,b'FAILED',b'SUCCESS',b'STOPPED',b'STOPPED',1e+20,1e+20
