PETAL_LOC,DEVICE_LOC,TARGET_RA,TARGET_DEC,FIBERASSIGN_X,FIBERASSIGN_Y,OFFSET_0,OFFSET_FINAL,EXPID,PETAL,DEVICE,DEVICE_TYPE,LOCATION,FIBER,X,Y,Z,Q,S,SPECTRO,SLIT,SLITBLOCK,BLOCKFIBER,POSITIONER,SPECTROGRAPH,date_obs,petal_id,device_loc,pos_id,pos_move_index,time_recorded,bus_id,pos_t,pos_p,last_meas_obs_x,last_meas_obs_y,last_meas_peak,last_meas_fwhm,total_move_sequences,total_cruise_moves_t,total_cruise_moves_p,total_creep_moves_t,total_creep_moves_p,ctrl_enabled,move_cmd,move_val1,move_val2,log_note,exposure_id,exposure_iter,flags,obs_x,obs_y,ptl_x,ptl_y,ptl_z,site
5,435,176.52310312802976,21.963390061297194,-75.31703,342.48596,,,43043,5,435,POS,5435,2976,-73.92147923338374,344.15444269020907,-14.000342764968247,102.12246614003118,352.3670745048926,5,5,19,1,5435,5,2020-01-23 12:23:18.377262+00:00,10,435,M04804,2924,2020-01-23 12:19:10.355296+00:00,can22,-124.036673937366,141.410030242856,306.160948970795,178.255245644509,0.969006513319661,2.054,7112,2604,2478,20246,20372,True,,,,,,,,,,,,,kpno
5,435,122.39041928054355,40.87036442308451,-75.0007,344.257,,,43036,5,435,POS,5435,2976,-73.92147923338374,344.15444269020907,-14.000342764968247,102.12246614003118,352.3670745048926,5,5,19,1,5435,5,2020-01-23 10:49:46.206468+00:00,10,435,M04804,2915,2020-01-23 10:48:02.128037+00:00,can22,-124.036673937366,141.410030242856,306.160948970795,178.255245644509,0.969006513319661,2.054,7112,2604,2478,20246,20372,True,,,,,,,,,,,,,kpno
5,435,122.39041928054355,40.87036442308451,-75.0007,344.257,,,43037,5,435,POS,5435,2976,-73.92147923338374,344.15444269020907,-14.000342764968247,102.12246614003118,352.3670745048926,5,5,19,1,5435,5,2020-01-23 10:59:56.051785+00:00,10,435,M04804,2916,2020-01-23 10:57:47.287027+00:00,can22,-124.036673937366,141.410030242856,306.160948970795,178.255245644509,0.969006513319661,2.054,7112,2604,2478,20246,20372,True,,,,,,,,,,,,,kpno
5,435,176.52310312802976,21.963390061297194,-75.31703,342.48596,,,43042,5,435,POS,5435,2976,-73.92147923338374,344.15444269020907,-14.000342764968247,102.12246614003118,352.3670745048926,5,5,19,1,5435,5,2020-01-23 12:13:15.074441+00:00,10,435,M04804,2923,2020-01-23 12:11:43.032528+00:00,can22,-124.036673937366,141.410030242856,306.160948970795,178.255245644509,0.969006513319661,2.054,7112,2604,2478,20246,20372,True,,,,,,,,,,,,,kpno
5,435,122.39196716442414,40.86990006420485,-75.29432,344.13763,,,43022,5,435,POS,5435,2976,-73.92147923338374,344.15444269020907,-14.000342764968247,102.12246614003118,352.3670745048926,5,5,19,1,5435,5,2020-01-23 06:52:13.515320+00:00,10,435,M04804,2904,2020-01-23 06:50:45.938317+00:00,can22,-124.036673937366,141.410030242856,306.160948970795,178.255245644509,0.969006513319661,2.054,7112,2604,2478,20246,20372,True,,,,,,,,,,,,,kpno
5,435,122.39196716442414,40.86990006420485,-75.29432,344.13763,,,43023,5,435,POS,5435,2976,-73.92147923338374,344.15444269020907,-14.000342764968247,102.12246614003118,352.3670745048926,5,5,19,1,5435,5,2020-01-23 07:02:46.344373+00:00,10,435,M04804,2905,2020-01-23 07:00:56.625312+00:00,can22,-124.036673937366,141.410030242856,306.160948970795,178.255245644509,0.969006513319661,2.054,7112,2604,2478,20246,20372,True,,,,,,,,,,,,,kpno
5,435,122.39196716442414,40.86990006420485,-75.29432,344.13763,,,43027,5,435,POS,5435,2976,-73.92147923338374,344.15444269020907,-14.000342764968247,102.12246614003118,352.3670745048926,5,5,19,1,5435,5,2020-01-23 08:06:38.867511+00:00,10,435,M04804,2909,2020-01-23 08:05:02.915658+00:00,can22,-124.036673937366,141.410030242856,306.160948970795,178.255245644509,0.969006513319661,2.054,7112,2604,2478,20246,20372,True,,,,,,,,,,,,,kpno
5,435,122.39041928054355,40.87036442308451,-75.0007,344.257,,,43029,5,435,POS,5435,2976,-73.92147923338374,344.15444269020907,-14.000342764968247,102.12246614003118,352.3670745048926,5,5,19,1,5435,5,2020-01-23 08:43:40.504734+00:00,10,435,M04804,2909,2020-01-23 08:05:02.915658+00:00,can22,-124.036673937366,141.410030242856,306.160948970795,178.255245644509,0.969006513319661,2.054,7112,2604,2478,20246,20372,True,,,,,,,,,,,,,kpno
5,435,105.37301862751535,39.359870092573246,-73.33526,341.40018,,,43426,5,435,POS,5435,2976,-73.92147923338374,344.15444269020907,-14.000342764968247,102.12246614003118,352.3670745048926,5,5,19,1,5435,5,2020-01-24 04:45:25.828613+00:00,10,435,M04804,2951,2020-01-24 04:42:00.761366+00:00,can22,-124.036673937366,141.410030242856,306.160948970795,178.255245644509,0.969006513319661,2.054,7112,2604,2478,20246,20372,True,,,,,,,,,,,,,kpno
5,435,105.37349658694112,39.36041719162542,-73.42997,341.5475,,,43428,5,435,POS,5435,2976,-73.92147923338374,344.15444269020907,-14.000342764968247,102.12246614003118,352.3670745048926,5,5,19,1,5435,5,2020-01-24 05:21:22.315524+00:00,10,435,M04804,2952,2020-01-24 05:54:27.566998+00:00,can22,-124.036673937366,141.410030242856,306.160948970795,178.255245644509,0.969006513319661,2.054,7112,2604,2478,20246,20372,True,,,,,,,,,,,,,kpno
